order,bk1,bk2
44,Ac,Acts
30,Am,Amos
51,Col,Colossians
27,Da,Daniel
5,De,Deuteronomy
21,Ec,Ecclesiastes
49,Eph,Ephesians
17,Es,Esther
2,Ex,Exodus
26,Eze,Ezekiel
15,Ezr,Ezra
48,Ga,Galatians
1,Ge,Genesis
35,Hab,Habakkuk
37,Hag,Haggai
58,Heb,Hebrews
28,Ho,Hosea
13,1Ch,I Chronicles
46,1Co,I Corinthians
62,1Jo,I John
11,1Ki,I Kings
60,1Pe,I Peter
9,1Sa,I Samuel
52,1Th,I Thessalonians
54,1Ti,I Timothy
14,2Ch,II Chronicles
47,2Co,II Corinthians
63,2Jo,II John
12,2Ki,II Kings
61,2Pe,II Peter
10,2Sa,II Samuel
53,2Th,II Thessalonians
55,2Ti,II Timothy
64,3Jo,III John
23,Isa,Isaiah
59,Jas,James
24,Jer,Jeremiah
18,Job,Job
29,Joe,Joel
43,Joh,John
32,Jon,Jonah
6,Jos,Joshua
65,Jud,Jude
7,Jg,Judges
25,La,Lamentations
3,Le,Leviticus
42,Lu,Luke
39,Mal,Malachi
41,Mk,Mark
40,Mt,Matthew
33,Mic,Micah
34,Na,Nahum
16,Ne,Nehemiah
4,Nu,Numbers
31,Ob,Obadiah
57,Phm,Philemon
50,Php,Philippians
20,Pr,Proverbs
19,Ps,Psalms
66,Re,Revelation
45,Ro,Romans
8,Ru,Ruth
22,Ca,Song of Solomon
56,Tit,Titus
38,Zec,Zechariah
36,Zep,Zephaniah
